Name	YT Scope Project	
File	C:\Users\Administrator\Documents\TcXaeShell\TwinCAT_260713\ScopeLog\2026-08-20_Scope_1000to2000mms_B.csv	
Starttime of export	134316857329540000	Thursday, August 20, 2026	16:48:52.954
Endtime of export	134316858874540000	Thursday, August 20, 2026	16:51:27.454


Name	a	Name	b
SymbolComment	A coordinate.	SymbolComment	B coordinate.
Data-Type	REAL64	Data-Type	REAL64
SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True
IndexGroup	61462	IndexGroup	61462
IndexOffset	0	IndexOffset	0
SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.a	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.b
NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1
Port	851	Port	851
Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0

0	-0,00038196918843282258	0	0,0052287709958352075
10	-0,0052708426640524948	10	-0,0035140919131993438
20	0,0044010739260779939	20	0,0020327489258680194
30	-0,0070300801239256147	30	-0,0036572490890841147
40	0,007181290547445051	40	-0,00867900117237259
50	0,0031737961663370804	50	0,0055016563101657721
60	0,0096414685418481083	60	-0,0025008320999379214
70	-0,0068720605129953521	70	-0,0043437335603023616
80	-0,018673534567075017	80	-0,00066956454289803283
90	0,0065568846892940791	90	0,000608358225848536
100	0,00107903443601614	100	-0,0096783213352370032
110	0,00800816323266236	110	0,016888806054691046
120	0,0088616708295174949	120	-0,0045930864293520363
130	0,011178063439927492	130	0,010119809295679792
140	-0,012615738845708827	140	0,0094239356448008616
150	-0,0051728007878533572	150	-0,0043925623809827124
160	0,0082406676463715953	160	0,00093903124031225491
170	0,0027545527345295396	170	0,0017758910148523142
180	-0,010882518279120852	180	-0,0039226874757619249
190	-0,012799300849031123	190	-0,0060220540627224694
200	0,019347899825832023	200	0,0047281447052059866
210	0,00762681960097991	210	0,0064423917188482878
220	0,0059000534858879624	220	0,012599991480067869
230	-0,010648722635308585	230	-0,0058772653805446171
240	0,010360253359214248	240	0,012597128511061598
250	-0,0089928629112315962	250	-0,0036862343935814713
260	-0,0042259013835856587	260	0,0055039951518096441
270	-7,859274340557341E-05	270	-0,0047036912659764035
280	0,0013491366673644754	280	0,0020174514237189488
290	-0,015252851041072092	290	-0,009006467598148089
300	0,011892333375617851	300	-0,0046861289510182333
310	-0,0029983612964533161	310	0,0051705509803646335
320	0,00066891478005495439	320	-0,0072204417203340192
330	-0,012860001529788449	330	0,0089266427133798121
340	0,006644002458040886	340	-0,010456637362249126
350	0,0041840707672590322	350	0,0092791187554527779
360	-0,0011533760448709462	360	-0,00049300067800874231
370	-0,0038763567811717185	370	-0,0026516822801256538
380	-0,012282181123665952	380	-0,0050013488045266988
390	0,0068456597449290391	390	0,0048125872054254953
400	-0,0050457259604794434	400	0,0023058777165196023
410	-0,0011714680869385947	410	-0,0036730741126165174
420	0,012840467715018527	420	0,00050508287496137637
430	-0,0071185149977172346	430	0,0045954746205288969
440	-0,0061331135325940955	440	0,00084266037477764984
450	-0,00037146756012566747	450	-0,013260567655396086
460	-0,0024430372741624439	460	0,013190773581955053
470	-0,0014312726612063652	470	-0,0042382324817890485
480	0,012267810035091814	480	-0,0026157478239212375
490	-0,0014798903389017881	490	-0,00079476177749055344
500	0,01598143612959468	500	-0,0018050193180511281
510	0,0095802098805491676	510	0,004080489832768386
520	-5,0269274630450911E-05	520	-0,011566741387873902
530	-0,015143716010374994	530	0,00447711051980289
540	-0,0018558442673838995	540	-0,0069181878999129672
550	0,0054881333978237992	550	-0,010316235905397635
560	0,0055432064392620219	560	0,0032791801309973935
570	0,0037641895726665798	570	0,0016124650952152658
580	0,0037976830032002994	580	-0,0062787235120116656
590	0,0033886790492630033	590	-0,00048928777659697025
600	-0,0017230521599504505	600	0,0041571813758741992
610	0,002530145125930743	610	0,0097472347289526834
620	-0,0083770027189166291	620	-0,0041717198718840979
630	0,003762420951163704	630	0,0096621337233921047
640	0,0059855745255566646	640	0,0032420588231607383
650	-0,0029223795982646524	650	-0,0055330174376867682
660	0,000593304224157011	660	0,0087321992549693524
670	0,015987479610814	670	0,00097641153623837255
680	0,017619389704720333	680	0,0059905149782852642
690	-0,0054889013088366273	690	-0,001742251773592101
700	-0,0098540032594454183	700	0,000434592947044995
710	0,001204207058378113	710	0,0043147550428266025
720	-0,00056128421914250427	720	0,002619918709139378
730	-0,0079873908783946439	730	0,010290336733307731
740	0,00076793921259048377	740	-0,0019124944966693886
750	0,0048821664030520113	750	0,0027157995334079438
760	0,0064981916549218827	760	0,0041955234343703171
770	0,0034189941768106307	770	0,0057625395746339764
780	-0,0030156870707443084	780	-0,011091984287469221
790	-0,009409956909642421	790	-0,011995584490369375
800	-0,0046554529539328642	800	0,0019415775185297334
810	-0,012944518295577157	810	0,0061628375659740029
820	0,019319631110996684	820	0,0040673471247912214
830	-0,0075509129214478094	830	-0,0055738488622930982
840	0,00044609175944353407	840	0,0020903645774577578
850	0,0010810100336557942	850	-0,0090868303454544278
860	-0,0026755024323903303	860	0,0063590373505092168
870	0,012358355263984005	870	-0,0044523046366981124
880	0,015946450881327335	880	0,0033718951883949105
890	-0,0064979083598456448	890	-0,002865731885885171
900	-0,01143275080852081	900	-0,0058918393817886322
910	-0,0028387717112573676	910	-0,0036265903503805356
920	0,021761879968198092	920	-0,00045409217714678521
930	-0,0027895364365856249	930	0,0033262468023106174
940	0,0033402894546783251	940	-0,0088502277060064083
950	-0,00763284997326035	950	0,0021467766119726821
960	-0,0024230688092406146	960	0,0037787713062029382
970	-0,0027801685405990924	970	0,0062211995600062178
980	-0,0075899306613693854	980	0,0019367489817636234
990	0,014037846888850198	990	0,0036805062945408319
1000	-0,0094247768907764658	1000	0,002216374076614363
1010	-0,004686210608659239	1010	-0,00080788309771049043
1020	-0,0024311495792677341	1020	-0,013086599038341137
1030	-9,0637398200990048E-06	1030	0,0025862177717057124
1040	0,0029579828388408206	1040	-0,012438963198317362
1050	0,0004266281766997035	1050	-0,010074408337588664
1060	0,003360129266274547	1060	-0,0040419966070730212
1070	0,018500923633300324	1070	0,020013931050688775
1080	-0,010493894636105876	1080	-0,0030657290286021546
1090	0,0094182695176322512	1090	0,0017547333594383166
1100	-0,012913601053310714	1100	-0,00041300026479454914
1110	0,0058209920155980529	1110	-0,0017755469991632242
1120	0,012963153749897965	1120	-0,00024772934111730354
1130	0,00095985994639169491	1130	0,0058590008506103882
1140	-0,0048278774716647814	1140	0,0070297758780034671
1150	-0,0083358192768057428	1150	0,00884092845199173
1160	-0,0042679793957102405	1160	0,0099045522015414784
1170	0,009880607409957793	1170	-0,00811078508129086
1180	-0,020982617485680394	1180	-0,0088364199998906719
1190	0,00754780059993296	1190	-0,0077624337228975075
1200	-0,0053179043703620492	1200	-0,0027585665633808277
1210	-0,010554791188878749	1210	0,0035533662099239546
1220	-0,00055355876384817449	1220	0,0071534547145138318
1230	0,0015940972307826307	1230	-0,0095734319771333086
1240	0,0020366443395751391	1240	-0,00061171348368130784
1250	0,0059002576527692613	1250	-0,0040813436524923608
1260	-0,0037113599226199045	1260	-0,0034396457721503062
1270	-0,0087165410405863758	1270	0,0032763021564662775
1280	0,0072059168436816676	1280	0,012870440116633982
1290	-0,0096727574422223028	1290	-4,2584106496276794E-05
1300	0,012591597673855785	1300	0,00562956438821101
1310	-0,010257352357788709	1310	-0,0037896487104399725
1320	-0,0092461159722631477	1320	0,0013445639635410011
1330	0,013733017808292412	1330	-0,0020085090808796766
1340	0,003629606298118778	1340	-0,0027916168321616575
1350	0,0064778475061701406	1350	-0,0085858506234048719
1360	-0,010439490579833718	1360	0,0066814953740376064
1370	0,0109306457209225	1370	-0,00070064054038545534
1380	-0,014632895500738518	1380	-0,0071846764190489033
1390	-0,0045007666057263317	1390	0,003412246554322599
1400	0,0015570215797616539	1400	0,0082428417791563322
1410	0,015775837426013926	1410	0,0029725467293311922
1420	-0,0077265727677023541	1420	-0,0020513404073341729
1430	-0,0014715229576083135	1430	-0,0041985454328831622
1440	-0,0053076190352984408	1440	-0,00038246438067236847
1450	-0,0092011351235719973	1450	0,0039784379429155994
1460	0,00027270353709178056	1460	0,014596953730026965
1470	0,0021001872528894788	1470	0,0069971527057673816
1480	-0,0033154389879727782	1480	0,0098595525027833416
1490	-0,0068932310331030772	1490	-0,0040850891573874643
1500	0,0029287500614633469	1500	-0,017556732441948927
1510	0,0033965249682126491	1510	0,00051408005119776747
1520	0,0049738843616926659	1520	-0,0028201014564321683
1530	-0,006398408150151952	1530	-0,0050110396442909584
1540	0,0069721182595130658	1540	0,021301893686193736
1550	0,0029402913360171939	1550	-0,00060119032952534845
1560	0,0062519949481000614	1560	-0,0051511751178238809
1570	0,0053992815480665641	1570	0,0075464303681014658
1580	-0,008658120676995916	1580	-0,014573581992029284
1590	0,0049660904219404455	1590	0,0015619265357923276
1600	0,014956114283644425	1600	-0,0019212766699669803
1610	0,0057157286167356641	1610	0,0010243479857932
1620	-0,0063284739184978067	1620	-0,005561134229891301
1630	-0,0080182664083715618	1630	-0,010900097554541003
1640	-0,0048796450366505421	1640	-0,010167587643345296
1650	0,005753727703589063	1650	0,0050116862223339225
1660	-0,0067318294989736896	1660	0,0058052016547568905
1670	0,0092241737038309644	1670	0,0084882364470621387
1680	-0,0072449360377230387	1680	-0,011406903730572774
1690	0,0061038531959036755	1690	0,0034095595652587321
1700	-0,0015986060327326259	1700	-0,0095208504659863025
1710	0,0054329553534773929	1710	0,0023743028625404904
1720	0,015061471523392378	1720	-0,0026153090045465547
1730	-0,0027159626102169995	1730	0,010333763440101017
1740	-0,00044898997819186058	1740	-0,01191648413133806
1750	0,0044381596119965226	1750	-0,0016059757572292612
1760	-0,00038455565534020031	1760	0,0050184695442133109
1770	-0,0033808145712286471	1770	-0,0039777913186168
1780	0,00818313489425873	1780	-0,005581806768823647
1790	0,0075986253080535015	1790	0,0024696294130463377
1800	-0,0048073704199889681	1800	-0,0034272851517929232
1810	0,0071621362201709808	1810	0,012602152234048024
1820	-0,0017993592630633167	1820	0,010404560378588352
1830	-0,0065110795406984638	1830	0,0031877319336190216
1840	0,0010756895610967523	1840	-0,0060999237385063647
1850	0,0080421473952682811	1850	-0,0061347099969302791
1860	-0,0079193427722784818	1860	0,00085385710613268074
1870	-0,0052273421567632025	1870	-0,0018117356639080198
1880	-0,008372474223287945	1880	-0,010060486080975227
1890	0,0025922191956665582	1890	0,014417054902800926
1900	0,0097761065860310845	1900	0,012772921248884104
1910	-0,0091764862596435959	1910	-0,00045782115296755927
1920	-0,0052143250791039479	1920	0,001208738701893081
1930	-0,015780292390325058	1930	-0,0098342535998288023
1940	0,00078872060615878237	1940	-0,0010178068060162069
1950	0,0096457113060879878	1950	0,0014274388086342848
1960	-0,00024405683146174994	1960	0,0043952995441427448
1970	0,002008112521068152	1970	-0,0055680609518482613
1980	-0,0012528767342725857	1980	0,013060973074524576
1990	0,0028260289368189804	1990	-0,012479791351244159
2000	0,0038158376007307844	2000	0,0059871899332167283
2010	0,0065054534756356589	2010	-0,0059479932428046509
2020	0,015768429820397428	2020	-0,00578265749373167
2030	-0,011810778396919408	2030	-0,010704836748925369
2040	-0,0027664483360477221	2040	-0,0067808753897206373
2050	-0,016940279006567194	2050	0,0049457944556515936
2060	0,0039968728958404117	2060	-0,0067524764544855693
2070	0,0030252342937960824	2070	0,00061941928124295629
2080	0,0017170212062556779	2080	-0,0023393081485835491
2090	0,0083977456152977015	2090	0,0022559946377843352
2100	0,00011909613023705503	2100	-0,011657501824849042
2110	-0,011963613267498631	2110	0,0022702779917581663
2120	-0,0044373782154089889	2120	0,013229109198364158
2130	-0,0066816789344198062	2130	0,0014491706865148292
2140	-0,0045646066565595564	2140	0,0039698302883337437
2150	0,0040636090555430833	2150	0,0034589863815730724
2160	-0,011427731310098374	2160	0,0040641242627384678
2170	-0,0117813586224164	2170	-0,010695153357709849
2180	0,0031086815660287055	2180	-0,00776578182783676
2190	0,011162358202176896	2190	0,0020251236454287614
2200	0,00093513211470202943	2200	0,0055843771049119816
2210	-0,0038925579799612411	2210	-0,0049971228259893035
2220	-0,0060094311556902211	2220	-0,00097592101505835976
2230	-0,0038419452205046421	2230	-0,0005768406179651669
2240	-0,003278354281247977	2240	0,0042840469046163425
2250	-0,00069984761506681971	2250	-0,0078140649823559179
2260	0,00090723876834073846	2260	0,010571276580383907
2270	-0,0085191493458761369	2270	-0,00797867452562539
2280	0,003305101932783393	2280	-0,0077202661720662483
2290	0,0056162113074444244	2290	0,0047752306407125907
2300	0,021048266310535531	2300	0,0022010967138873733
2310	-0,0062097751995522045	2310	-0,0092510983106200532
2320	-0,033033501317013374	2320	-0,017109271761592403
2330	-0,012307217683026233	2330	0,0043177744603260125
2340	0,014583019382158786	2340	0,00090859430043474477
2350	0,01289532748756405	2350	-0,0011598730904874483
2360	-0,00091068995187585852	2360	0,012844830855506043
2370	0,017316190333298714	2370	-0,0072171444880219388
2380	-0,014358806986505426	2380	0,0023175387789386554
2390	0,0018151909368147559	2390	0,013750445234969572
2400	0,010287837533478622	2400	-0,011894114082821292
2410	-0,0071655310983494893	2410	0,00846615800874497
2420	-0,00095951905275756767	2420	0,0035437903586802771
2430	0,011862244183321479	2430	-0,0032480804863777215
2440	-0,0077235513745313993	2440	-0,011391456551460014
2450	-0,0013506935999806496	2450	-2,3850261170070878E-05
