Name	YT Scope Project	
File	C:\Users\Administrator\Documents\TcXaeShell\TwinCAT_260713\ScopeLog\2026-08-20_Scope_1000to2000mms_B_Y360.csv	
Starttime of export	134316871299040000	Thursday, August 20, 2026	17:12:09.904
Endtime of export	134316872724040000	Thursday, August 20, 2026	17:14:32.404


Name	a	Name	b
SymbolComment	A coordinate.	SymbolComment	B coordinate.
Data-Type	REAL64	Data-Type	REAL64
SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True
IndexGroup	61462	IndexGroup	61462
IndexOffset	0	IndexOffset	0
SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.a	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.b
NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1
Port	851	Port	851
Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0

0	-0,018055692875186054	0	-0,034387365140771953
10	-0,032350456947734918	10	-0,043583484508858718
20	-0,030112970542931793	20	-0,050608220629140728
30	-0,027930483138450268	30	-0,03786605062566676
40	-0,039208112992403905	40	-0,037232754748568971
50	-0,032503269803477106	50	-0,032983577713919791
60	-0,023835245039784486	60	-0,037611376745610284
70	-0,024235998257600335	70	-0,033326873882424578
80	-0,030691910543694668	80	-0,037372601287471073
90	-0,018765609270367519	90	-0,0411617788595482
100	-0,025513249940570037	100	-0,039512433356427033
110	-0,03030630601691647	110	-0,041836082494051935
120	-0,027258030957648192	120	-0,04602429757813619
130	-0,0301476338464019	130	-0,032219366461433849
140	-0,034129664523908539	140	-0,04463585624267824
150	-0,029082939764368203	150	-0,026215442626570339
160	-0,021094269303965903	160	-0,035441880302553408
170	-0,028359101422606444	170	-0,038787409125550065
180	-0,01916415367244215	180	-0,037975733105115657
190	-0,026006044066544685	190	-0,037647033561206661
200	-0,03375591459129245	200	-0,037563673853504252
210	-0,037789399683718979	210	-0,040155832321649411
220	-0,021040302718441376	220	-0,043921148218875848
230	-0,0378258454867697	230	-0,040774200288756883
240	-0,022428892073691292	240	-0,0414701264224787
250	-0,029694069064001096	250	-0,043941947812287836
260	-0,043732635488133373	260	-0,032466281838162865
270	-0,029140009022724327	270	-0,042279751445980285
280	-0,0273716668184616	280	-0,049296063597041764
290	-0,03801832380152801	290	-0,049297954523228368
300	-0,028593634488504268	300	-0,0470649423509974
310	-0,022586818599251785	310	-0,041378589369532683
320	-0,029645781732216457	320	-0,027264347687257235
330	-0,027152161601009264	330	-0,035393842298860119
340	-0,024595835977429828	340	-0,045097722721816627
350	-0,027472795994925293	350	-0,033292983903722428
360	-0,027923944547414786	360	-0,029300183925705409
370	-0,02371580007143323	370	-0,027576420832177116
380	-0,030039023673100868	380	-0,0400846797470728
390	-0,027330205414800812	390	-0,036688423285133526
400	-0,017661052025998103	400	-0,030727573608585704
410	-0,03730993422052209	410	-0,041264138660740968
420	-0,031564837100470929	420	-0,0317258275661584
430	-0,02024039098882836	430	-0,038894687845324377
440	-0,021124167896654247	440	-0,03443835567491188
450	-0,02585621355591141	450	-0,043483843342260707
460	-0,030756513750606406	460	-0,040335282931641216
470	-0,032098130069885634	470	-0,033423128900681859
480	-0,029977317369542032	480	-0,04054898789389319
490	-0,028965868288682192	490	-0,032616048323195243
500	-0,03850291054889321	500	-0,05011767728145939
510	-0,024942135035272369	510	-0,036024932925833988
520	-0,028677280034130028	520	-0,028141775508388114
530	-0,031629017970850687	530	-0,037798445123264988
540	-0,021020593888789213	540	-0,042253407035827868
550	-0,029091263029773939	550	-0,034011180289939366
560	-0,029242474444278136	560	-0,039668504762990296
570	-0,020387264205880641	570	-0,047029524797339156
580	-0,031527086543103156	580	-0,040010197133398928
590	-0,027641410781327969	590	-0,039693554084456177
600	-0,032715492956408895	600	-0,032419759181885929
610	-0,039198941539358004	610	-0,034804181864739568
620	-0,030561994118060924	620	-0,044185904786942461
630	-0,035009914827319848	630	-0,040672704922376034
640	-0,026067302595316727	640	-0,041693940320457694
650	-0,038864313913326773	650	-0,045148415702413153
660	-0,036965028685370119	660	-0,03659198664031197
670	-0,031093372766212796	670	-0,035998983078260896
680	-0,021264879496055267	680	-0,048784412476678266
690	-0,025430515592859856	690	-0,036594057953498384
700	-0,029200530680745931	700	-0,046495720057084258
710	-0,024410765633903857	710	-0,037714505414116507
720	-0,018305142222498398	720	-0,039788352130543332
730	-0,032718599831093861	730	-0,044469672363204094
740	-0,021448078117136254	740	-0,041474049932494879
750	-0,033806098135469989	750	-0,043804040707898916
