Name	YT Scope Project	
File	C:\Users\Administrator\Documents\TcXaeShell\TwinCAT_260713\ScopeLog\2026-08-20_Scope_2000mms_B.csv	
Starttime of export	134316848705540000	Thursday, August 20, 2026	16:34:30.554
Endtime of export	134316848986540000	Thursday, August 20, 2026	16:34:58.654


Name	a	Name	b
SymbolComment	A coordinate.	SymbolComment	B coordinate.
Data-Type	REAL64	Data-Type	REAL64
SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True
IndexGroup	61462	IndexGroup	61462
IndexOffset	0	IndexOffset	0
SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.a	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.b
NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1
Port	851	Port	851
Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0

0	-0,04950625529367441	0	0,046829574817921653
10	-0,038988564919863772	10	0,04422798579928517
20	-0,050643460397066506	20	0,041723649973462076
30	-0,036173828190205946	30	0,042365075981343807
40	-0,043478782446517816	40	0,052842678891508253
50	-0,036493145167944593	50	0,041202487439711381
60	-0,034394109606418817	60	0,033970366140307962
70	-0,047164469499226161	70	0,046345759619905232
80	-0,034153746429256671	80	0,038071410852940787
90	-0,037502610130662938	90	0,042409805599283409
100	-0,05044085868570445	100	0,042544917076381021
110	-0,039785266270439455	110	0,038595123783479991
120	-0,044056114684443523	120	0,035474464855549795
130	-0,044446284422992324	130	0,042981310760172114
140	-0,042503953051390278	140	0,035230478171493919
150	-0,041062576499222632	150	0,042108512465891292
160	-0,045157483217140547	160	0,043498213586262373
170	-0,035669401236681227	170	0,046735785229199168
180	-0,039771052995860388	180	0,044485416178999669
190	-0,045227558890576787	190	0,040433783949488093
200	-0,031853575352892537	200	0,0500221977730204
210	-0,048827781115014256	210	0,046553153463195031
220	-0,0497665263925091	220	0,03971726072579479
230	-0,04280009432761385	230	0,035715973057554376
240	-0,042886485069201119	240	0,044454237648903716
250	-0,046868909566597471	250	0,046832678065183618
260	-0,048615271625748073	260	0,041418414257310007
270	-0,032939712213527213	270	0,0394497406530821
280	-0,0419372956898064	280	0,035356939555010174
290	-0,04291848182375467	290	0,051956927275752227
300	-0,037330658819765522	300	0,041694999532953
310	-0,04129259561034735	310	0,04809514990746766
320	-0,041614093604079479	320	0,039838703715480178
330	-0,0377155419381491	330	0,041233848603944558
340	-0,051301464075126341	340	0,0411542510259445
350	-0,042872859131581842	350	0,054873042158048155
360	-0,049448443870109174	360	0,044017048509084993
370	-0,042669832574692111	370	0,0412967462808634
380	-0,050807551273651143	380	0,044400837045486211
390	-0,040570390948841822	390	0,041618447264297843
400	-0,036467468953322917	400	0,035145993814382458
410	-0,047430983577209353	410	0,045371009191062836
420	-0,04908702525673108	420	0,042275844838617196
430	-0,040593632711224473	430	0,0485470530836664
440	-0,040071003223541631	440	0,038548443181526948
450	-0,037677594766062666	450	0,033709070710809343
460	-0,047907887785912644	460	0,042743872898753747
470	-0,037875945976109777	470	0,038009818494271624
480	-0,043466083591627354	480	0,043065541415609358
490	-0,036544932851956508	490	0,039390314496745231
500	-0,048016608970472129	500	0,044514197724281168
510	-0,037310001719440149	510	0,046321032011489752
520	-0,045443050551735635	520	0,022802261759884288
530	-0,042828785305616075	530	0,061828025972964849
540	-0,04639515495062118	540	0,054598257790490518
550	-0,042689953104732954	550	0,039806022368301039
560	-0,042793052099054742	560	0,050014645495863042
570	-0,047917172561458658	570	0,04034572983646946
580	-0,045817594245936823	580	0,051243650340451287
590	-0,045640029694335095	590	0,041307761288997075
600	-0,038301557331688087	600	0,047205238541977446
610	-0,051186366707919428	610	0,049977153579548309
620	-0,045428838998366111	620	0,042727921391986522
630	-0,042923328886101474	630	0,039147099704795962
640	-0,032344541581191738	640	0,044436873649035889
650	-0,041546008087403746	650	0,043799174398150051
660	-0,047257439044433344	660	0,043035758631660252
670	-0,042492891162074158	670	0,049101798343589423
680	-0,044721583059876391	680	0,04555828965097701
690	-0,040721696972680035	690	0,048076858065376683
700	-0,04950281685362861	700	0,036483622761730117
710	-0,044543685839320904	710	0,042844680069201641
720	-0,042922091006966416	720	0,0406526406951447
730	-0,043425819909310985	730	0,039663141387247046
740	-0,044398565855112579	740	0,04633362111407717
750	-0,041285342027355704	750	0,045279031538613644
760	-0,043739396730638487	760	0,050082250458672616
770	-0,036823384055911519	770	0,0333286115546122
780	-0,0533839575218317	780	0,046187407703209053
790	-0,038416177480851139	790	0,053946515884133225
800	-0,049196523071448159	800	0,034695262663828656
810	-0,0428578802373621	810	0,042180914729356492
820	-0,046903725540574495	820	0,040849510263967652
830	-0,045434726817709679	830	0,053323542690483734
840	-0,03357939386978219	840	0,046323667162408488
850	-0,04544062805054179	850	0,049429012465489391
860	-0,051026889445738348	860	0,033356557204196419
870	-0,048268688365376441	870	0,047896990507657194
880	-0,03477620294683028	880	0,034898810385952196
890	-0,043711224723624431	890	0,038667519083463331
900	-0,050485711876558849	900	0,048261627935982807
910	-0,032876418305358257	910	0,047637011800388
920	-0,04789045896666564	920	0,046437142383023551
930	-0,058291818024782706	930	0,046103576307906138
940	-0,041536489849183712	940	0,048009160413182213
950	-0,047292360772894379	950	0,042365757232449369
960	-0,048335648097102717	960	0,042741256830419246
970	-0,034898248388218769	970	0,037791458320073877
980	-0,044804518220113457	980	0,037067357656091683
990	-0,040831781841158828	990	0,044979063324028533
1000	-0,052580744972457523	1000	0,0435117182007383
1010	-0,03734184200404541	1010	0,033831100897180569
1020	-0,043925024215783877	1020	0,033077030970990108
1030	-0,047194956172374229	1030	0,038178633841331043
1040	-0,04330738588184669	1040	0,045570014695991749
1050	-0,0518841381217405	1050	0,03227461447838418
1060	-0,047555104428059644	1060	0,048391221370160178
1070	-0,044328503495506828	1070	0,03112298569531044
1080	-0,045900946484058194	1080	0,038063637128381358
1090	-0,046022958981502549	1090	0,042671386455475621
1100	-0,053701585576958651	1100	0,047818834683087667
1110	-0,039646046153987355	1110	0,044214340383062822
1120	-0,047675684265515904	1120	0,043856770151506214
1130	-0,040077634510139078	1130	0,0415318662715484
1140	-0,037244536777537557	1140	0,040739124575561961
1150	-0,051023488859354038	1150	0,0441490966993959
1160	-0,042749452422129595	1160	0,052246467742494494
1170	-0,043100143255026396	1170	0,050438529067522012
1180	-0,05240294160818787	1180	0,056841989487895449
1190	-0,039361198573620144	1190	0,047994995797985066
1200	-0,047382744698904557	1200	0,038969705280354171
1210	-0,041997499965401912	1210	0,044770787755646149
1220	-0,048303575437594275	1220	0,034492882675065478
1230	-0,038422102165827442	1230	0,0424453069606686
1240	-0,046184185179230737	1240	0,048788386924215991
1250	-0,037430059914470952	1250	0,039207180479964847
1260	-0,047861284491780343	1260	0,05505118884969893
1270	-0,042888635913445612	1270	0,052194224061053208
1280	-0,040638232369684564	1280	0,047860335577820295
1290	-0,045189705399872007	1290	0,041198613662097316
1300	-0,046453130244451774	1300	0,048320591521175536
1310	-0,049936796686530165	1310	0,039769979567650791
1320	-0,036982065268225221	1320	0,046256350718852014
1330	-0,05478460199571	1330	0,051030957028464961
1340	-0,033914017822861228	1340	0,0492763741690229
1350	-0,048048151494877608	1350	0,0394783739526511
1360	-0,043206476249514805	1360	0,045998319523850383
1370	-0,043059862461017659	1370	0,034900064873621607
1380	-0,049876101356275994	1380	0,037083064013692504
1390	-0,044108060646873642	1390	0,045601712209704777
1400	-0,050600343097012668	1400	0,0491575302619201
1410	-0,037367647785591908	1410	0,036660015324130588
1420	-0,044005380336768235	1420	0,043962940558981749
1430	-0,040416071223037676	1430	0,044288676470877281
1440	-0,047352530603939277	1440	0,050479309150881196
1450	-0,036883998989975346	1450	0,0438293257352067
1460	-0,039327051098177988	1460	0,053860354422694018
1470	-0,04330945450700547	1470	0,04178117258276471
