Name	YT Scope Project	
File	C:\Users\Administrator\Documents\TcXaeShell\TwinCAT_260713\ScopeLog\2026-08-20_Scope_2000mms_B_re.csv	
Starttime of export	134316883781540000	Thursday, August 20, 2026	17:32:58.154
Endtime of export	134316884918540000	Thursday, August 20, 2026	17:34:51.854


Name	a	Name	b
SymbolComment	A coordinate.	SymbolComment	B coordinate.
Data-Type	REAL64	Data-Type	REAL64
SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True
IndexGroup	61462	IndexGroup	61462
IndexOffset	0	IndexOffset	0
SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.a	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.b
NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1
Port	851	Port	851
Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0

0	-0,067239566341463664	0	-0,11753583851729633
10	-0,06218147925001867	10	-0,12659761081256329
20	-0,063832487243197414	20	-0,1276757681898531
30	-0,050050680368348713	30	-0,13430344002802352
40	-0,051270399716494858	40	-0,14244894028636929
50	-0,062592168795298886	50	-0,13230029940700411
60	-0,059038969416765577	60	-0,12602177824875913
70	-0,0627851764108002	70	-0,13703849578184132
80	-0,053192089462732441	80	-0,12602249299278631
90	-0,070338504092990417	90	-0,12608274659016075
100	-0,062086845409206178	100	-0,13510398273477106
110	-0,064906858811041621	110	-0,14198018578121924
120	-0,059675683285958424	120	-0,1308775240902556
130	-0,054316051973618294	130	-0,13550162436205634
140	-0,058056544853460311	140	-0,12656768865035417
150	-0,0576387418021234	150	-0,13178591719663488
160	-0,062756593468262178	160	-0,13139586467830577
170	-0,064913714314882048	170	-0,12869085638345074
180	-0,066991355624029969	180	-0,12103536893589705
190	-0,054232199322485443	190	-0,13929089250177934
200	-0,063134876982343491	200	-0,13084700526291435
210	-0,064881069088337781	210	-0,13016849552731277
220	-0,061036032109207154	220	-0,13481037518804814
230	-0,060125398825639068	230	-0,13162711181947898
240	-0,061547093602775625	240	-0,14502628523247091
250	-0,064150259818168173	250	-0,13149957590865444
260	-0,061395130412085094	260	-0,14128458910564828
270	-0,067910923061839309	270	-0,12399329102230695
280	-0,0560811777401039	280	-0,12706390682770025
290	-0,055108425310462138	290	-0,12010868535869421
300	-0,052497738222050304	300	-0,13887017472906432
310	-0,059441984859638593	310	-0,12402271906615288
320	-0,063977179038917448	320	-0,13466673740108384
330	-0,05276828965208661	330	-0,11487767841659552
340	-0,073004952220259725	340	-0,13097275270881589
350	-0,051708500185801677	350	-0,13999001880493062
360	-0,060447714056875858	360	-0,13324091632597376
370	-0,066733754839157985	370	-0,12556758648645036
380	-0,059394636400065121	380	-0,13838468696489809
390	-0,053323493240596688	390	-0,12928484838970111
400	-0,072150734630469143	400	-0,12185255505797291
410	-0,062040706213232821	410	-0,13277582510536423
420	-0,066180719019381634	420	-0,13304461916552271
430	-0,06209745908178884	430	-0,13144932949496435
440	-0,057831330731323759	440	-0,13369467305136837
450	-0,059661156589944919	450	-0,12859721667817756
460	-0,060326005655770641	460	-0,14039566035870338
470	-0,067609618832310245	470	-0,12027210634096403
480	-0,057397467887991868	480	-0,13705432059647082
490	-0,066406762025748745	490	-0,13150263076264149
500	-0,056027710170435487	500	-0,12996496820196368
510	-0,063028140416321835	510	-0,12772701209619586
520	-0,062989459693044231	520	-0,13402220824991065
