Name	YT Scope Project	
File	C:\Users\Administrator\Documents\TcXaeShell\TwinCAT_260713\ScopeLog\2026-08-21_AccJarkControl_1600mms.csv	
Starttime of export	134317616998550000	Friday, August 21, 2026	13:54:59.855
Endtime of export	134317617448550000	Friday, August 21, 2026	13:55:44.855


Name	actposB	Name	actposX	Name	actveloX	Name	setposX	Name	setposB	Name	setveloX
SymbolComment	B coordinate.	SymbolComment	X coordinate.	SymbolComment	X coordinate.	SymbolComment	X coordinate.	SymbolComment	B coordinate.	SymbolComment	X coordinate.
Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462
IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0
SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.b	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActVelo.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetPos.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetPos.b	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetVelo.x
NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

0	-0,0658232669316468	0	120,0016009451362	0	0,3953380738910931	0	120	0	-0,0663386830915975	0	0
10	-0,072462730931779268	10	119,99986036087582	10	-1,3650438463766554	10	120	10	-0,0663386830915975	10	0
20	-0,0686695985435522	20	120,00130661000445	20	-0,37994253367156788	20	120	20	-0,0663386830915975	20	0
30	-0,062795647322849632	30	120,00067333050363	30	0,34060530207568807	30	120	30	-0,0663386830915975	30	0
40	-0,05743573369827279	40	120,00234179733317	40	0,86172972291252825	40	120	40	-0,0663386830915975	40	0
50	-0,065668896065290736	50	119,99951914327764	50	0,22100756278652514	50	120	50	-0,0663386830915975	50	0
60	-0,069687401503972984	60	120,0000087101394	60	-0,052080143895476272	60	120	60	-0,0663386830915975	60	0
70	-0,063598822086619738	70	119,99998232284348	70	0,073231699731040656	70	120	70	-0,0663386830915975	70	0
80	-0,066106359164368661	80	119,99785536967386	80	-0,22698486372147653	80	120	80	-0,0663386830915975	80	0
90	-0,0716941246674649	90	119,99889677705404	90	-0,12549827467979843	90	120	90	-0,0663386830915975	90	0
100	-0,062978618878079137	100	119,99900772453667	100	0,14199366235683486	100	120	100	-0,0663386830915975	100	0
110	-0,0739098362383384	110	119,99588436780441	110	-0,89074053930913455	110	120	110	-0,0663386830915975	110	0
120	-0,070402951384852766	120	120,00065927302495	120	0,12653026848886895	120	120	120	-0,0663386830915975	120	0
130	-0,065430288942293385	130	120,00034182137071	130	0,324202949311304	130	120	130	-0,0663386830915975	130	0
140	-0,06066292018508692	140	120,00142739106003	140	-0,3275042634482464	140	120	140	-0,0663386830915975	140	0
150	-0,062344001559202084	150	120,00107724078687	150	0,67911627862986523	150	120	150	-0,0663386830915975	150	0
160	-0,062315394239215463	160	120,00112407624135	160	-0,19157835489499647	160	120	160	-0,0663386830915975	160	0
170	-0,0750680385745483	170	119,99692799792412	170	0,16894877626892135	170	120	170	-0,0663386830915975	170	0
180	-0,054840303939340626	180	120,00091669673583	180	-0,39898977898405991	180	120	180	-0,0663386830915975	180	0
190	-0,0717599061462911	190	120,00195080486373	190	-1,3153470374613305	190	120	190	-0,0663386830915975	190	0
200	-0,08396835770384245	200	119,9964206636064	200	-1,3248794645775921	200	120	200	-0,0663386830915975	200	0
210	-0,0664981885712989	210	120,00230511495735	210	0,048869422234945059	210	120	210	-0,0663386830915975	210	0
220	-0,064785644315668189	220	119,99967441472985	220	0,35974745481294246	220	120	220	-0,0663386830915975	220	0
230	-0,066277020035377249	230	119,998223924318	230	-0,75170097142724823	230	120	230	-0,0663386830915975	230	0
240	-0,087272041998664618	240	119,99494168878756	240	-0,73915443120125	240	120	240	-0,0663386830915975	240	0
250	-0,07017224749643465	250	120,00046775572795	250	0,667500220730766	250	120	250	-0,0663386830915975	250	0
260	-0,0629008876355036	260	119,99958032110577	260	-1,1023942057391867	260	120	260	-0,0663386830915975	260	0
270	-0,0646468447096685	270	120,00076711378009	270	0,32600023860516858	270	120	270	-0,0663386830915975	270	0
280	-0,062859865520236521	280	120,00320287930606	280	1,3871547602797709	280	120	280	-0,0663386830915975	280	0
290	-0,06242274281954039	290	120,00047734737369	290	0,74423502313970313	290	120	290	-0,0663386830915975	290	0
300	-0,064766890351919626	300	119,99822680003591	300	-0,55278412326741655	300	120	300	-0,0663386830915975	300	0
310	-0,064039570330683512	310	120,00074335157987	310	-0,14080923950369179	310	120	310	-0,0663386830915975	310	0
320	-0,069246668360457356	320	120,00048914740096	320	-0,26608403967833832	320	120	320	-0,0663386830915975	320	0
330	-0,047901423033282126	330	120,00328541631509	330	0,78691573020041317	330	120	330	-0,0663386830915975	330	0
340	-0,063551460166577881	340	120,00199839888022	340	0,13620153923101175	340	120	340	-0,0663386830915975	340	0
350	-0,070365327325600954	350	120,00040359968459	350	0,69142676137920256	350	120	350	-0,0663386830915975	350	0
360	-0,076134590839538344	360	119,99917799818888	360	-0,57726861776968685	360	120	360	-0,0663386830915975	360	0
370	-0,067488931168970617	370	120,00009280815024	370	-0,17446735698317206	370	120	370	-0,0663386830915975	370	0
380	-0,074580546528525068	380	119,99786579070627	380	-0,51580430531859822	380	120	380	-0,0663386830915975	380	0
390	-0,070172088114979228	390	120,00021034913036	390	0,303653583216812	390	120	390	-0,0663386830915975	390	0
400	-0,071268200040826443	400	119,99848439313365	400	-0,18775348338292641	400	120	400	-0,0663386830915975	400	0
410	-0,071846485301269955	410	119,99751893266787	410	-0,91247572859560488	410	120	410	-0,0663386830915975	410	0
420	-0,060982093796807232	420	120,00170469938333	420	-0,33213732598175782	420	120	420	-0,0663386830915975	420	0
430	-0,06010468149650209	430	120,00139212412488	430	0,35592765539649207	430	120	430	-0,0663386830915975	430	0
440	-0,061439290305042069	440	120,00186663026533	440	0,625827023704403	440	120	440	-0,0663386830915975	440	0
450	-0,064250499597599639	450	119,99849661121733	450	-0,003345216050876898	450	120	450	-0,0663386830915975	450	0
460	-0,06985768038649888	460	119,99764017348257	460	-1,6510017202030864	460	120	460	-0,0663386830915975	460	0
470	-0,07005037022324867	470	119,99913905689949	470	0,38544544481466231	470	120	470	-0,0663386830915975	470	0
