Name	YT Scope Project	
File	C:\Users\Administrator\Documents\TcXaeShell\TwinCAT_260713\ScopeLog\2026-08-21_Scope_B_swing.csv	
Starttime of export	134317722693060000	Friday, August 21, 2026	16:51:09.306
Endtime of export	134317723458060000	Friday, August 21, 2026	16:52:25.806


Name	actposB	Name	actposX	Name	actveloX	Name	setposX	Name	setposB	Name	setveloX	Name	setAccX
SymbolComment	B coordinate.	SymbolComment	X coordinate.	SymbolComment	X coordinate.	SymbolComment	X coordinate.	SymbolComment	B coordinate.	SymbolComment	X coordinate.	SymbolComment	X coordinate.
Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462
IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0
SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.b	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActVelo.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetPos.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetPos.b	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetVelo.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetAcc.x
NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

0	-0,065731064980846	0	119,99805496999342	0	-0,25089020474804968	0	120	0	-0,057197011116605245	0	0	0	0
10	-0,05729039151705468	10	119,99869635698336	10	0,54851944503778038	10	120	10	-0,057197011116605245	10	0	10	0
20	-0,056208004727954466	20	119,99887546499141	20	0,083035467797165322	20	120	20	-0,057197011116605245	20	0	20	0
30	-0,05870557304365033	30	120,00006906468259	30	0,4463454296910957	30	120	30	-0,057197011116605245	30	0	30	0
40	-0,053338526781350259	40	119,9989080088522	40	0,2014933344050821	40	120	40	-0,057197011116605245	40	0	40	0
50	-0,069486773184107051	50	119,99665219922149	50	-0,51020950340498983	50	120	50	-0,057197011116605245	50	0	50	0
60	-0,058278398093817942	60	120,00177829456213	60	0,47846403132498516	60	120	60	-0,057197011116605245	60	0	60	0
70	-0,065067001499318378	70	120,0011761524428	70	0,02118988459375673	70	120	70	-0,057197011116605245	70	0	70	0
80	-0,054343669717949683	80	120,00257477528835	80	-0,33802922631089033	80	120	80	-0,057197011116605245	80	0	80	0
90	-0,0515892143936928	90	120,00206312647654	90	0,73053055265080713	90	120	90	-0,057197011116605245	90	0	90	0
100	-0,059412199209912947	100	119,99982036100332	100	-0,21649249166640877	100	120	100	-0,057197011116605245	100	0	100	0
110	-0,059683130455541127	110	120,00047125821691	110	0,30474459446147623	110	120	110	-0,057197011116605245	110	0	110	0
120	-0,065903411054424	120	119,99985570732233	120	-0,52302252671544358	120	120	120	-0,057197011116605245	120	0	120	0
130	-0,056632232685092293	130	119,998726922682	130	0,088945539881896463	130	120	130	-0,057197011116605245	130	0	130	0
140	-0,075541880741318027	140	119,99431284882385	140	-0,71113834472196091	140	120	140	-0,057197011116605245	140	0	140	0
150	-0,055245541818958653	150	119,99931321131926	150	0,24498443696587913	150	120	150	-0,057197011116605245	150	0	150	0
160	-0,063788567796089782	160	119,99708363485104	160	-0,082820773103904927	160	120	160	-0,057197011116605245	160	0	160	0
170	-0,064053207671789569	170	119,99976175906869	170	-0,0076486784021428111	170	120	170	-0,057197011116605245	170	0	170	0
180	-0,061000562101057969	180	120,00132992972908	180	0,36267218070207308	180	120	180	-0,057197011116605245	180	0	180	0
190	-0,063786712583443012	190	119,99960468692574	190	-0,24517335647167304	190	120	190	-0,057197011116605245	190	0	190	0
200	-0,0513839643697753	200	120,00036160168581	200	0,35465465259057827	200	120	200	-0,057197011116605245	200	0	200	0
210	-0,055873815238477051	210	119,99651099978547	210	0,30319958470765812	210	120	210	-0,057197011116605245	210	0	210	0
220	-0,0596229189858124	220	119,99700955756909	220	0,30659831098047824	220	120	220	-0,057197011116605245	220	0	220	0
230	-0,071269919486312311	230	119,99657566007898	230	-0,17147213147320284	230	120	230	-0,057197011116605245	230	0	230	0
240	-0,062011459569537845	240	120,00274385603171	240	0,66575411656672534	240	120	240	-0,057197011116605245	240	0	240	0
250	-0,052769930590990062	250	120,00403506186203	250	0,26792484918668186	250	120	250	-0,057197011116605245	250	0	250	0
260	-0,059066228432963191	260	120,00373955707914	260	0,019743202461684151	260	120	260	-0,057197011116605245	260	0	260	0
270	-0,059364240064127022	270	120,00071022903252	270	0,042526240202376081	270	120	270	-0,057197011116605245	270	0	270	0
280	-0,0631251072694102	280	119,99803373646	280	-0,20563298693040968	280	120	280	-0,057197011116605245	280	0	280	0
290	-0,044233274505303448	290	120,00202724600177	290	0,72331291121725116	290	120	290	-0,057197011116605245	290	0	290	0
300	-0,066153261136464983	300	119,99586936857375	300	-0,24972195117953194	300	120	300	-0,057197011116605245	300	0	300	0
310	-0,071339161073528	310	119,99669725175791	310	-0,37003160868948803	310	120	310	-0,057197011116605245	310	0	310	0
320	-0,053121327698961579	320	120,00014527942209	320	1,229743055992168	320	120	320	-0,057197011116605245	320	0	320	0
330	-0,06234365915941923	330	119,99938665387134	330	0,11359418344550554	330	120	330	-0,057197011116605245	330	0	330	0
340	-0,063296161608833737	340	119,99980234416454	340	0,57104777989699729	340	120	340	-0,057197011116605245	340	0	340	0
350	-0,064873394314816965	350	119,99902203803984	350	-0,36316779659618326	350	120	350	-0,057197011116605245	350	0	350	0
360	-0,066058089359993424	360	119,99703322493259	360	-0,52645472640992452	360	120	360	-0,057197011116605245	360	0	360	0
370	-0,054484129023845154	370	119,99724227472512	370	0,23241468745055641	370	120	370	-0,057197011116605245	370	0	370	0
380	-0,060286634596190374	380	119,99925985516599	380	0,0538588714249055	380	120	380	-0,057197011116605245	380	0	380	0
390	-0,063191520872147744	390	120,00124752429719	390	0,29371674905374046	390	120	390	-0,057197011116605245	390	0	390	0
400	-0,070601144604897734	400	119,99667442148686	400	-0,10872241165054161	400	120	400	-0,057197011116605245	400	0	400	0
410	-0,061989133157626913	410	119,99881620546363	410	0,11334740997404195	410	120	410	-0,057197011116605245	410	0	410	0
420	-0,056113496421465313	420	120,00296575621891	420	0,0018572190166541991	420	120	420	-0,057197011116605245	420	0	420	0
430	-0,0539866891218322	430	120,00325783401932	430	0,35745981603283328	430	120	430	-0,057197011116605245	430	0	430	0
440	-0,06070016017922724	440	119,99975858361937	440	-0,40062834761412564	440	120	440	-0,057197011116605245	440	0	440	0
450	-0,054285853636641256	450	119,99681222472407	450	0,17562617456303412	450	120	450	-0,057197011116605245	450	0	450	0
460	-0,062973867954091017	460	119,99588641382125	460	-0,075047666504064262	460	120	460	-0,057197011116605245	460	0	460	0
470	-0,066444583296525639	470	119,99512894626056	470	0,0071847227217478743	470	120	470	-0,057197011116605245	470	0	470	0
480	-0,06385937517684892	480	119,99826325128518	480	0,41443310841084824	480	120	480	-0,057197011116605245	480	0	480	0
490	-0,072131232782189109	490	119,99899249168651	490	-0,14271565575648409	490	120	490	-0,057197011116605245	490	0	490	0
500	-0,055755911832879923	500	120,00310771170835	500	0,736167614631616	500	120	500	-0,057197011116605245	500	0	500	0
510	-0,06877924927432974	510	119,99976479518939	510	-0,48317733470363022	510	120	510	-0,057197011116605245	510	0	510	0
520	-0,061385003728208508	520	119,99954500025102	520	-0,1348738904750274	520	120	520	-0,057197011116605245	520	0	520	0
530	-0,0537299518768329	530	119,99870837297718	530	0,18103088966700498	530	120	530	-0,057197011116605245	530	0	530	0
540	-0,066189791706156673	540	119,99931254968682	540	0,184513034703014	540	120	540	-0,057197011116605245	540	0	540	0
550	-0,0687353538691378	550	119,9968051150171	550	-0,54934257931687713	550	120	550	-0,057197011116605245	550	0	550	0
560	-0,070556088520030716	560	119,99716412679774	560	-0,89801767795190546	560	120	560	-0,057197011116605245	560	0	560	0
570	-0,063502414298986815	570	119,99749403565122	570	-0,21790777999919375	570	120	570	-0,057197011116605245	570	0	570	0
580	-0,060541488794413373	580	119,99739124317807	580	-0,29437585016107876	580	120	580	-0,057197011116605245	580	0	580	0
590	-0,069218764917826262	590	119,99667587282929	590	-0,22507958354588487	590	120	590	-0,057197011116605245	590	0	590	0
600	-0,062328275875132434	600	119,99866175664816	600	0,1628959628901665	600	120	600	-0,057197011116605245	600	0	600	0
610	-0,061371424851646629	610	119,99683516193167	610	-0,17810168349480235	610	120	610	-0,057197011116605245	610	0	610	0
620	-0,060972477923807646	620	120,00040689343177	620	0,23398498098555215	620	120	620	-0,057197011116605245	620	0	620	0
630	-0,069088980928009164	630	119,99704349929509	630	-0,97948393696230018	630	120	630	-0,057197011116605245	630	0	630	0
640	-0,065253667982941133	640	119,99899500540165	640	-0,061575083669139663	640	120	640	-0,057197011116605245	640	0	640	0
650	-0,067763363107293792	650	119,9998048543742	650	-0,1800824088974442	650	120	650	-0,057197011116605245	650	0	650	0
660	-0,062073861977961928	660	120,00233621371487	660	-0,073519982509148263	660	120	660	-0,057197011116605245	660	0	660	0
670	-0,066926347967181318	670	119,99609723378808	670	-0,28721365460187093	670	120	670	-0,057197011116605245	670	0	670	0
680	-0,0670801917975101	680	119,99728348807143	680	-0,38052987306668151	680	120	680	-0,057197011116605245	680	0	680	0
690	-0,060869399182261349	690	119,99902229830121	690	0,65214760311221731	690	120	690	-0,057197011116605245	690	0	690	0
700	-0,057655587611358243	700	120,00157015812485	700	1,0241416001380146	700	120	700	-0,057197011116605245	700	0	700	0
710	-0,057652687029614354	710	120,00392195090343	710	0,23055840676340611	710	120	710	-0,057197011116605245	710	0	710	0
720	-0,056787673922898095	720	119,99813524748268	720	-0,43719249870451271	720	120	720	-0,057197011116605245	720	0	720	0
730	-0,054825773838450019	730	120,00233857449264	730	0,49415115005558841	730	120	730	-0,057197011116605245	730	0	730	0
740	-0,054363941906899887	740	119,99938901330553	740	0,2862255242025093	740	120	740	-0,057197011116605245	740	0	740	0
750	-0,0694767287698524	750	119,99480607640173	750	-0,841644937546894	750	120	750	-0,057197011116605245	750	0	750	0
760	-0,064957898161596486	760	120,00060383321458	760	0,40168923403178658	760	120	760	-0,057197011116605245	760	0	760	0
770	-0,065249540648099777	770	120,00048500383645	770	0,15407114211221906	770	120	770	-0,057197011116605245	770	0	770	0
780	-0,0677637166314744	780	119,99569953326503	780	-0,15979768905266711	780	120	780	-0,057197011116605245	780	0	780	0
790	-0,056953096952943087	790	119,99632108711018	790	0,25315889406152953	790	120	790	-0,057197011116605245	790	0	790	0
800	-0,061198791604365796	800	119,99563537103043	800	-0,0999117921506523	800	120	800	-0,057197011116605245	800	0	800	0
810	-0,07366639252381578	810	119,99665002090825	810	-0,42487638100302938	810	120	810	-0,057197011116605245	810	0	810	0
820	-0,062091763486032917	820	119,99871959450583	820	0,19949930560386264	820	120	820	-0,057197011116605245	820	0	820	0
830	-0,058279703334859469	830	120,0028196761242	830	0,50819976346950324	830	120	830	-0,057197011116605245	830	0	830	0
840	-0,067637701203058009	840	119,99933560609165	840	-1,1782968989600489	840	120	840	-0,057197011116605245	840	0	840	0
850	-0,046620803831468507	850	120,00255603335172	850	0,7744202590384186	850	120	850	-0,057197011116605245	850	0	850	0
860	-0,055625842311789041	860	120,00181646412075	860	0,11500456561509742	860	120	860	-0,057197011116605245	860	0	860	0
870	-0,068170873448151884	870	119,99812108485845	870	-0,44278501487041422	870	120	870	-0,057197011116605245	870	0	870	0
880	-0,058231369929227179	880	120,00158702388737	880	0,14723397160568508	880	120	880	-0,057197011116605245	880	0	880	0
890	-0,06320236492031818	890	120,00190870201261	890	0,14980877816929111	890	120	890	-0,057197011116605245	890	0	890	0
900	-0,066344667098140561	900	119,99732343095884	900	-0,1253672720589567	900	120	900	-0,057197011116605245	900	0	900	0
910	-0,062131467042879675	910	119,997658637438	910	0,2941622536327837	910	120	910	-0,057197011116605245	910	0	910	0
920	-0,06455953215695702	920	119,99732680896111	920	-0,081719598386383763	920	120	920	-0,057197011116605245	920	0	920	0
930	-0,061815041914415884	930	119,99840986330106	930	0,11698534382872022	930	120	930	-0,057197011116605245	930	0	930	0
940	-0,061115067253562291	940	119,99770171837132	940	-0,020264987592202882	940	120	940	-0,057197011116605245	940	0	940	0
950	-0,066921395993103372	950	119,99815032702237	950	0,16019615412713076	950	120	950	-0,057197011116605245	950	0	950	0
960	-0,053394116383929942	960	119,99960378085216	960	0,58548046778789242	960	120	960	-0,057197011116605245	960	0	960	0
970	-0,066484912776601485	970	119,99892673314542	970	-0,1348795074350303	970	120	970	-0,057197011116605245	970	0	970	0
980	-0,059753152556856273	980	119,99878362899021	980	-0,24251659929747924	980	120	980	-0,057197011116605245	980	0	980	0
990	-0,067305360093034255	990	119,9987374655415	990	-0,23586791453697498	990	120	990	-0,057197011116605245	990	0	990	0
