Name	YT Scope Project	
File	C:\Users\Administrator\Documents\TcXaeShell\TwinCAT_260713\ScopeLog\20260824_jerk_bestsetting.csv	
Starttime of export	134320258641010000	Monday, August 24, 2026	15:17:44.101
Endtime of export	134320259857510000	Monday, August 24, 2026	15:19:45.751


Name	actposB	Name	actposX	Name	actveloX	Name	setposX	Name	setposB	Name	setveloX
SymbolComment	B coordinate.	SymbolComment	X coordinate.	SymbolComment	X coordinate.	SymbolComment	X coordinate.	SymbolComment	B coordinate.	SymbolComment	X coordinate.
Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462
IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0
SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.b	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActVelo.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetPos.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetPos.b	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetVelo.x
NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

0	-0,054853451519925371	0	119,69767346234023	0	0,49646956330060071	0	120	0	0	0	0
10	-0,044021720052431733	10	119,70019630791136	10	0,71581778286613129	10	120	10	0	10	0
20	-0,054807407599560425	20	119,70028627202925	20	-0,13503463697500831	20	120	20	0	20	0
30	-0,055541559462182644	30	119,70152355867434	30	-0,043780470342446982	30	120	30	0	30	0
40	-0,057889513060866794	40	119,69903121055494	40	-0,15598510189277831	40	120	40	0	40	0
50	-0,05376107333111322	50	119,6998842980519	50	0,83278206536838262	50	120	50	0	50	0
60	-0,042684489791484252	60	119,70189745389138	60	1,0154643332626887	60	120	60	0	60	0
70	-0,059491846118024647	70	119,69947216850557	70	0,054392177850900073	70	120	70	0	70	0
80	-0,058626907616872954	80	119,6973164378128	80	0,063471428446111033	80	120	80	0	80	0
90	-0,056224739697557806	90	119,6979266259555	90	0,2450163929929742	90	120	90	0	90	0
100	-0,05618633705525191	100	119,69911679339654	100	0,39032697361181429	100	120	100	0	100	0
110	-0,051548309786083241	110	119,70001779807055	110	0,42413415272275107	110	120	110	0	110	0
120	-0,0513000420013265	120	119,6997255470495	120	0,30736521952541268	120	120	120	0	120	0
130	-0,056958037811475737	130	119,69661557247345	130	-0,046621599184023185	130	120	130	0	130	0
140	-0,056877231877672962	140	119,69717729838214	140	0,39132229330263324	140	120	140	0	140	0
150	-0,055446417665840825	150	119,69790533548948	150	0,492743547489031	150	120	150	0	150	0
160	-0,065097676609768812	160	119,69631481817655	160	-0,90766726834750855	160	120	160	0	160	0
170	-0,058029136495366722	170	119,69767038254595	170	0,32023844544947294	170	120	170	0	170	0
180	-0,055577923174105634	180	119,69962603261944	180	-0,37448100086798597	180	120	180	0	180	0
190	-0,05983519087575976	190	119,69702343577293	190	-0,064771308412469142	190	120	190	0	190	0
200	-0,052698028135735306	200	119,69658292810502	200	-0,19144074331242927	200	120	200	0	200	0
210	-0,053153254361144819	210	119,69678739532384	210	0,70893556998692375	210	120	210	0	210	0
220	-0,05085470533490781	220	119,70112228066573	220	0,17637113689687387	220	120	220	0	220	0
230	-0,056464272012105882	230	119,69841159185732	230	-0,22455853263476849	230	120	230	0	230	0
240	-0,062972541826527062	240	119,69997134380742	240	-0,57421339718519349	240	120	240	0	240	0
250	-0,06249044825183301	250	119,69668898744104	250	-0,9459161654323418	250	120	250	0	250	0
260	-0,064001691378977321	260	119,69349986412018	260	-0,45153031423721	260	120	260	0	260	0
270	-0,058324969975319586	270	119,69723072231379	270	0,028851561426303574	270	120	270	0	270	0
280	-0,057759072833849068	280	119,69908783287536	280	0,43368115299848159	280	120	280	0	280	0
290	-0,052473072570035278	290	119,70217888515171	290	0,10714145733811856	290	120	290	0	290	0
300	-0,05583644034668217	300	119,70131063034022	300	0,29120222842208066	300	120	300	0	300	0
310	-0,059140573428227518	310	119,69813794171483	310	-0,18260771578311963	310	120	310	0	310	0
320	-0,050172307385084054	320	119,69831551050767	320	0,57623735388003061	320	120	320	0	320	0
330	-0,066727279995504513	330	119,69676433347499	330	-0,26294759755007907	330	120	330	0	330	0
340	-0,053912661842925071	340	119,69751145379179	340	-0,044961913562200306	340	120	340	0	340	0
350	-0,056629693641386848	350	119,69797649177332	350	-0,027436915792532796	350	120	350	0	350	0
360	-0,057449054926947282	360	119,69931657546627	360	-0,18415202468785849	360	120	360	0	360	0
370	-0,053715610646747465	370	119,70004443679834	370	0,44933617617923416	370	120	370	0	370	0
380	-0,057710520195988671	380	119,69780674421692	380	-0,34433716654706625	380	120	380	0	380	0
390	-0,05866076546900742	390	119,69800432302135	390	0,0487634868192999	390	120	390	0	390	0
400	-0,049076102490506139	400	119,70043998911582	400	0,64780762313663887	400	120	400	0	400	0
410	-0,075070536230814042	410	119,69601042118006	410	-0,93726770460210385	410	120	410	0	410	0
420	-0,058631744125878113	420	119,69809230850899	420	0,0839131144089417	420	120	420	0	420	0
430	-0,059180671480211736	430	119,69912956235268	430	-0,13855820278419997	430	120	430	0	430	0
440	-0,048296803342928948	440	119,70056331213787	440	0,41357142034374922	440	120	440	0	440	0
450	-0,061091280088958158	450	119,69732836647154	450	-0,1809661974789156	450	120	450	0	450	0
460	-0,061630122534910743	460	119,69672727743129	460	-0,043874745639572776	460	120	460	0	460	0
470	-0,064487756060790671	470	119,69927975889594	470	-0,4319952545137028	470	120	470	0	470	0
480	-0,056903345490382395	480	119,69761454270665	480	0,091569468199916432	480	120	480	0	480	0
490	-0,060750280645607377	490	119,69612758539272	490	-0,0775999358266108	490	120	490	0	490	0
500	-0,061576370373761936	500	119,69492020305637	500	-0,35971361086183962	500	120	500	0	500	0
510	-0,062685492515558411	510	119,69594372418358	510	0,013611701464919745	510	120	510	0	510	0
520	-0,074436963335476364	520	119,69495090643235	520	-0,56639116170592718	520	120	520	0	520	0
530	-0,049682037383764248	530	119,70154654612416	530	0,75975305163201978	530	120	530	0	530	0
540	-0,058596661212632371	540	119,69741209887991	540	-0,12335841997707564	540	120	540	0	540	0
550	-0,054841151088380467	550	119,6959362558195	550	-0,14433753505866204	550	120	550	0	550	0
560	-0,064415050472201446	560	119,69312905416591	560	0,29704974545102431	560	120	560	0	560	0
