Name	YT Scope Project	
File	C:\Users\Administrator\Documents\TcXaeShell\TwinCAT_260713\ScopeLog\2026-08-26_scope_Zpush_free.csv	
Starttime of export	134322045415550000	Wednesday, August 26, 2026	16:55:41.555
Endtime of export	134322045669903556	Wednesday, August 26, 2026	16:56:06.990


Name	actposZ	Name	setposZ
SymbolComment	Z coordinate.	SymbolComment	Z coordinate.
Data-Type	REAL64	Data-Type	REAL64
SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True
IndexGroup	61462	IndexGroup	61462
IndexOffset	0	IndexOffset	0
SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.z	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetPos.z
NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1
Port	851	Port	851
Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0

0	2,0071215418745654	0	2,0029407344459909
10	2,0005923613102343	10	2,0029407344459909
20	1,9978683008108042	20	2,0029407344459909
30	2,0027178825072429	30	2,0029407344459909
40	2,0071043986570745	40	2,0029407344459909
50	2,0041555335603762	50	2,0029407344459909
60	2,0004442454935036	60	2,0029407344459909
70	2,003656047929919	70	2,0029407344459909
80	1,9964126453810627	80	2,0029407344459909
90	2,0102115189815981	90	2,0029407344459909
100	2,0022803801261686	100	2,0029407344459909
110	1,994560796571081	110	2,0029407344459909
120	2,0067964881281242	120	2,0029407344459909
130	2,0072245940175231	130	2,0029407344459909
140	1,9986195583070812	140	2,0029407344459909
150	1,9991629155263206	150	2,0029407344459909
160	2,0059856309845117	160	2,0029407344459909
170	2,009574827831111	170	2,0029407344459909
180	2,0044282155493329	180	2,0029407344459909
190	1,998028868999512	190	2,0029407344459909
200	2,0045775751112291	200	2,0029407344459909
210	2,0103511780313807	210	2,0029407344459909
220	2,0007266419680692	220	2,0029407344459909
230	2,0054158460968932	230	2,0029407344459909
240	2,0011083651303663	240	2,0029407344459909
250	2,0017252643321175	250	2,0029407344459909
260	2,0003059109920844	260	2,0029407344459909
270	2,0064162622565043	270	2,0029407344459909
280	1,999216821053313	280	2,0029407344459909
290	2,0015040471302754	290	2,0029407344459909
300	2,0054196840706178	300	2,0029407344459909
310	1,9975209690441815	310	2,0029407344459909
320	2,0014008259240965	320	2,0029407344459909
330	2,0023323551398722	330	2,0029407344459909
340	2,0038494826611428	340	2,0029407344459909
350	2,0054224866525496	350	2,0029407344459909
