Name	YT Scope Project	
File	C:\Users\Administrator\Documents\TcXaeShell\TwinCAT_260713\ScopeLog\2026-08-26_scope_Zpush_spacer.csv	
Starttime of export	134322047071050000	Wednesday, August 26, 2026	16:58:27.105
Endtime of export	134322047454840794	Wednesday, August 26, 2026	16:59:05.484


Name	actposZ	Name	setposZ
SymbolComment	Z coordinate.	SymbolComment	Z coordinate.
Data-Type	REAL64	Data-Type	REAL64
SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True
IndexGroup	61462	IndexGroup	61462
IndexOffset	0	IndexOffset	0
SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.z	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetPos.z
NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1
Port	851	Port	851
Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0

0	1,9983643316273172	0	2
10	1,9959823022377066	10	2
20	1,9956332139929822	20	2
30	1,9981699623303113	30	2
40	2,0042634159190058	40	2
50	1,997199245548809	50	2
60	2,0007205258570409	60	2
70	1,9998736719454291	70	2
80	1,995523426448675	80	2
90	2,0039377567517072	90	2
100	1,9958866151082289	100	2
110	2,0020152131981668	110	2
120	1,9937862388750798	120	2
130	1,9998577896882148	130	2
140	1,9998442561454457	140	2
150	1,9930168378438449	150	2
160	2,0090402794028366	160	2
170	2,00053631670601	170	2
180	1,9978001649272681	180	2
190	2,0030228355349724	190	2
200	1,9994060589953433	200	2
210	1,9949284172556476	210	2
220	2,0014349758173262	220	2
230	1,9970412848583683	230	2
240	1,9986889925418172	240	2
250	1,9998959621040049	250	2
260	2,0021460174142236	260	2
270	2,000430955940848	270	2
280	1,9962661202926606	280	2
290	1,9989466983242235	290	2
300	2,00341400226418	300	2
310	1,9982019991791704	310	2
320	2,0035064355263987	320	2
330	2,0005799859173159	330	2
340	1,9992651344781613	340	2
350	1,9988862223515929	350	2
360	2,0023470381838671	360	2
370	2,0017479643425258	370	2
380	2,0005343116588934	380	2
390	2,007032496358236	390	2
400	1,9946636790716958	400	2
410	2,00406734350046	410	2
420	1,9919584527476077	420	2
430	1,9989547896198472	430	2
440	2,0087409835645689	440	2
450	1,994057806471977	450	2
460	2,0023157151746185	460	2
470	1,9963662123183	470	2
480	1,9994740385496836	480	2
490	2,0021095338859087	490	2
500	2,0068254083802453	500	2
510	1,9989259393282426	510	2
520	1,9953238081939153	520	2
530	1,9997351855844254	530	2
540	2,0053418558961118	540	2
550	2,0014577553936581	550	2
560	2,0004410278373719	560	2
570	1,9966386985735722	570	2
580	1,9999155890619242	580	2
590	2,004989034066047	590	2
600	2,0036198691508078	600	2
610	1,9987964779294973	610	2
620	1,997524727852892	620	2
630	1,9928024232857746	630	2
